video_name,frame_idx,time_sec,split,image_path,label_path,labels_json,method
test-sparks-easy.mp4,15,0.25025,val,data\ml\images\val\seed_easy_frame_000015.jpg,data\ml\labels\val\seed_easy_frame_000015.txt,"[{""class"": ""spark_plume"", ""box"": [461, 92, 91, 91]}]",opencv_main_plume
test-sparks-easy.mp4,18,0.3003,train,data\ml\images\train\seed_easy_frame_000018.jpg,data\ml\labels\train\seed_easy_frame_000018.txt,"[{""class"": ""spark_plume"", ""box"": [310, 115, 182, 54]}]",opencv_main_plume
test-sparks-easy.mp4,19,0.316983,train,data\ml\images\train\seed_easy_frame_000019.jpg,data\ml\labels\train\seed_easy_frame_000019.txt,"[{""class"": ""spark_plume"", ""box"": [310, 78, 179, 86]}]",opencv_main_plume
test-sparks-easy.mp4,25,0.417083,train,data\ml\images\train\seed_easy_frame_000025.jpg,data\ml\labels\train\seed_easy_frame_000025.txt,"[{""class"": ""spark_plume"", ""box"": [302, 222, 52, 76]}]",opencv_main_plume
test-sparks-easy.mp4,29,0.483817,train,data\ml\images\train\seed_easy_frame_000029.jpg,data\ml\labels\train\seed_easy_frame_000029.txt,"[{""class"": ""spark_plume"", ""box"": [311, 121, 124, 72]}]",opencv_main_plume
test-sparks-easy.mp4,36,0.6006,val,data\ml\images\val\seed_easy_frame_000036.jpg,data\ml\labels\val\seed_easy_frame_000036.txt,"[{""class"": ""spark_plume"", ""box"": [401, 121, 140, 108]}]",opencv_main_plume
test-sparks-easy.mp4,55,0.917583,train,data\ml\images\train\seed_easy_frame_000055.jpg,data\ml\labels\train\seed_easy_frame_000055.txt,"[{""class"": ""spark_plume"", ""box"": [443, 150, 154, 88]}]",opencv_main_plume
test-sparks-easy.mp4,76,1.267933,train,data\ml\images\train\seed_easy_frame_000076.jpg,data\ml\labels\train\seed_easy_frame_000076.txt,"[{""class"": ""spark_plume"", ""box"": [314, 101, 174, 51]}]",opencv_main_plume
test-sparks-easy.mp4,90,1.5015,train,data\ml\images\train\seed_easy_frame_000090.jpg,data\ml\labels\train\seed_easy_frame_000090.txt,"[{""class"": ""spark_plume"", ""box"": [314, 115, 173, 46]}]",opencv_main_plume
test-sparks-easy.mp4,108,1.8018,train,data\ml\images\train\seed_easy_frame_000108.jpg,data\ml\labels\train\seed_easy_frame_000108.txt,"[{""class"": ""spark_plume"", ""box"": [446, 149, 118, 56]}]",opencv_main_plume
test-sparks-easy.mp4,117,1.95195,val,data\ml\images\val\seed_easy_frame_000117.jpg,data\ml\labels\val\seed_easy_frame_000117.txt,"[{""class"": ""spark_plume"", ""box"": [407, 181, 98, 64]}]",opencv_main_plume
test-sparks-easy.mp4,171,2.85285,train,data\ml\images\train\seed_easy_frame_000171.jpg,data\ml\labels\train\seed_easy_frame_000171.txt,"[{""class"": ""spark_plume"", ""box"": [399, 208, 51, 48]}]",opencv_main_plume
test-sparks-easy.mp4,177,2.95295,train,data\ml\images\train\seed_easy_frame_000177.jpg,data\ml\labels\train\seed_easy_frame_000177.txt,"[{""class"": ""spark_plume"", ""box"": [435, 149, 74, 102]}]",opencv_main_plume
test-sparks-easy.mp4,196,3.269933,train,data\ml\images\train\seed_easy_frame_000196.jpg,data\ml\labels\train\seed_easy_frame_000196.txt,"[{""class"": ""spark_plume"", ""box"": [436, 129, 114, 76]}]",opencv_main_plume
test-sparks-easy.mp4,199,3.319983,train,data\ml\images\train\seed_easy_frame_000199.jpg,data\ml\labels\train\seed_easy_frame_000199.txt,"[{""class"": ""spark_plume"", ""box"": [353, 117, 122, 28]}]",opencv_main_plume
test-sparks-easy.mp4,211,3.520183,val,data\ml\images\val\seed_easy_frame_000211.jpg,data\ml\labels\val\seed_easy_frame_000211.txt,"[{""class"": ""spark_plume"", ""box"": [417, 121, 124, 81]}]",opencv_main_plume
test-sparks-easy.mp4,217,3.620283,train,data\ml\images\train\seed_easy_frame_000217.jpg,data\ml\labels\train\seed_easy_frame_000217.txt,"[{""class"": ""spark_plume"", ""box"": [336, 121, 95, 34]}]",opencv_main_plume
test-sparks-easy.mp4,220,3.670333,train,data\ml\images\train\seed_easy_frame_000220.jpg,data\ml\labels\train\seed_easy_frame_000220.txt,"[{""class"": ""spark_plume"", ""box"": [305, 107, 122, 47]}]",opencv_main_plume
test-sparks-easy.mp4,224,3.737067,train,data\ml\images\train\seed_easy_frame_000224.jpg,data\ml\labels\train\seed_easy_frame_000224.txt,"[{""class"": ""spark_plume"", ""box"": [310, 81, 130, 70]}]",opencv_main_plume
test-sparks-easy.mp4,227,3.787117,train,data\ml\images\train\seed_easy_frame_000227.jpg,data\ml\labels\train\seed_easy_frame_000227.txt,"[{""class"": ""spark_plume"", ""box"": [311, 118, 126, 38]}]",opencv_main_plume
test-sparks-easy.mp4,243,4.05405,val,data\ml\images\val\seed_easy_frame_000243.jpg,data\ml\labels\val\seed_easy_frame_000243.txt,"[{""class"": ""spark_plume"", ""box"": [309, 118, 151, 34]}]",opencv_main_plume
test-sparks-easy.mp4,247,4.120783,train,data\ml\images\train\seed_easy_frame_000247.jpg,data\ml\labels\train\seed_easy_frame_000247.txt,"[{""class"": ""spark_plume"", ""box"": [432, 149, 158, 55]}]",opencv_main_plume
test-sparks-easy.mp4,248,4.137467,train,data\ml\images\train\seed_easy_frame_000248.jpg,data\ml\labels\train\seed_easy_frame_000248.txt,"[{""class"": ""spark_plume"", ""box"": [429, 149, 74, 67]}]",opencv_main_plume
